employee_id,designation,no_of_trainings,length_of_service,avg_training_score,is_promoted
65438,Data Analyst,1,8,49.0,0
65141,Software Engineer,1,4,60.0,0
7513,DevOps Engineer,1,7,50.0,0
2542,Data Scientist,2,10,50.0,0
48945,Manager,1,2,73.0,0
58896,QA Engineer,2,7,85.0,0
20379,Data Scientist,1,5,59.0,0
16290,Admin,1,6,63.0,0
73202,Admin,1,5,83.0,0
28911,Data Analyst,1,5,54.0,0
29934,Software Engineer,1,1,77.0,0
49017,Admin,1,3,50.0,1
60051,Data Analyst,1,5,49.0,0
38401,Platform Engineer,2,16,80.0,0
77040,Data Engineer,1,7,84.0,0
43931,Data Engineer,1,10,60.0,0
7152,Admin,1,5,77.0,0
9403,Data Engineer,1,4,51.0,0
17436,Principle Architect,1,8,46.0,0
54461,DevOps Engineer,1,9,59.0,0
12067,QA Engineer,1,7,75.0,0
33332,Manager,1,11,57.0,0
58789,Admin,1,4,63.0,0
71177,Principle Architect,1,1,70.0,0
52057,DevOps Engineer,2,7,59.0,0
26585,Data Engineer,1,3,83.0,0
37749,Platform Engineer,1,4,68.0,0
2370,Admin,1,4,79.0,0
8219,Data Engineer,1,3,80.0,0
74759,Software Engineer,1,1,44.0,0
27395,QA Engineer,1,10,72.0,0
58536,Data Scientist,2,2,,0
35465,Principle Architect,1,2,48.0,0
51756,Data Scientist,2,6,58.0,0
57011,Manager,2,3,87.0,0
77064,Software Engineer,1,4,47.0,0
64062,QA Engineer,1,4,75.0,0
47123,Manager,1,3,47.0,0
56275,Platform Engineer,1,5,51.0,0
58304,QA Engineer,1,6,51.0,1
25014,Data Engineer,1,10,80.0,0
40097,Principle Architect,2,2,57.0,0
23560,Data Analyst,1,26,52.0,0
17423,Principle Architect,3,2,48.0,0
61758,Manager,1,12,88.0,0
75009,Platform Engineer,1,11,71.0,0
17876,Platform Engineer,1,4,71.0,0
36924,Platform Engineer,1,11,80.0,0
50408,Data Analyst,1,3,49.0,0
18013,Software Engineer,1,12,73.0,0
24104,Data Scientist,1,2,60.0,0
32083,DevOps Engineer,1,8,48.0,0
38330,DevOps Engineer,1,12,65.0,0
33690,DevOps Engineer,1,6,50.0,0
73161,Software Engineer,1,5,62.0,0
13596,Software Engineer,2,2,85.0,0
45709,Data Scientist,1,1,49.0,0
32709,Admin,1,5,84.0,0
26599,Manager,2,1,47.0,0
32656,Software Engineer,1,7,52.0,0
17673,Principle Architect,1,17,47.0,1
3113,Software Engineer,1,3,53.0,0
9150,Admin,1,1,80.0,0
14107,Data Engineer,1,2,52.0,0
58747,Admin,1,5,87.0,0
3342,DevOps Engineer,1,3,58.0,0
77981,QA Engineer,1,1,58.0,1
16502,Data Engineer,1,1,,1
73729,Admin,1,6,75.0,0
45624,DevOps Engineer,1,7,84.0,1
75677,Principle Architect,1,5,59.0,0
24040,Platform Engineer,1,7,78.0,1
68082,Data Scientist,1,12,52.0,0
51786,Data Engineer,1,6,44.0,0
77577,Software Engineer,1,14,52.0,0
54782,Platform Engineer,1,2,49.0,1
52368,Data Scientist,2,5,51.0,0
75103,Platform Engineer,1,3,53.0,0
7520,QA Engineer,1,2,91.0,0
59147,Data Scientist,1,3,58.0,1
53092,Data Analyst,1,7,79.0,0
34564,DevOps Engineer,1,7,53.0,0
66013,Data Scientist,2,2,53.0,0
77135,Data Analyst,1,8,82.0,0
44575,Principle Architect,1,1,65.0,1
47498,Principle Architect,1,11,60.0,1
20798,Data Analyst,1,6,52.0,0
69094,Manager,1,9,49.0,0
22261,Data Analyst,1,3,69.0,1
9589,QA Engineer,1,1,51.0,0
62658,Data Scientist,1,1,55.0,0
21628,Principle Architect,1,8,85.0,0
68484,DevOps Engineer,2,3,74.0,0
44523,DevOps Engineer,1,7,44.0,0
35420,Software Engineer,1,13,53.0,0
43923,Platform Engineer,1,4,86.0,0
64109,QA Engineer,1,1,77.0,0
41983,Manager,1,5,57.0,0
21440,Data Analyst,1,12,52.0,0
51256,Platform Engineer,1,17,59.0,0
66635,Data Engineer,1,4,63.0,1
16027,Data Scientist,1,11,57.0,0
46020,Platform Engineer,2,4,83.0,0
28509,Data Engineer,1,8,54.0,0
33587,Data Scientist,1,4,50.0,0
21387,DevOps Engineer,1,6,57.0,1
55927,Data Engineer,1,6,62.0,0
60763,Admin,1,2,73.0,0
53167,Admin,2,4,50.0,0
32672,Data Scientist,1,19,79.0,0
48785,Manager,3,2,49.0,0
51444,Manager,1,1,54.0,0
75778,Manager,1,6,63.0,0
14141,QA Engineer,1,2,90.0,1
17894,Platform Engineer,1,5,49.0,0
54380,Data Scientist,1,2,46.0,0
51892,Platform Engineer,1,2,86.0,1
3625,Software Engineer,4,2,72.0,0
38771,Data Scientist,1,4,72.0,1
18959,Data Scientist,4,7,82.0,0
21137,DevOps Engineer,1,6,77.0,0
26097,Data Scientist,1,7,51.0,1
38052,Platform Engineer,1,3,92.0,1
41746,Platform Engineer,1,1,58.0,0
72744,Data Analyst,2,5,71.0,0
5461,Admin,1,1,83.0,0
15227,Data Engineer,1,5,68.0,0
66874,DevOps Engineer,1,1,50.0,0
42068,Principle Architect,1,9,,0
54825,Data Engineer,1,2,47.0,0
77709,Admin,1,3,46.0,0
43712,Manager,2,4,67.0,0
74783,Data Analyst,1,7,58.0,0
19318,Platform Engineer,1,8,89.0,1
12096,QA Engineer,1,8,50.0,0
5102,Principle Architect,1,1,56.0,0
29521,Platform Engineer,1,4,78.0,0
36371,Admin,2,7,56.0,0
51164,Principle Architect,1,4,78.0,0
17812,Data Scientist,1,2,77.0,0
7606,Manager,2,7,76.0,0
50593,Software Engineer,1,1,56.0,0
73735,Data Engineer,1,3,84.0,0
29313,Principle Architect,1,2,57.0,0
40262,QA Engineer,2,5,81.0,0
36904,Software Engineer,1,2,51.0,0
62552,Software Engineer,1,11,51.0,0
63285,Principle Architect,1,4,80.0,0
74203,QA Engineer,1,4,72.0,0
75344,Data Scientist,1,6,50.0,0
74018,QA Engineer,1,9,48.0,0
34985,Manager,2,8,88.0,1
35930,Software Engineer,1,3,70.0,1
6708,DevOps Engineer,1,4,57.0,0
5515,Software Engineer,1,7,56.0,1
53373,QA Engineer,1,5,56.0,0
69316,Data Scientist,1,3,63.0,0
41009,Manager,2,2,56.0,0
50622,Data Scientist,1,2,84.0,0
30106,Data Analyst,1,4,,0
45157,Admin,1,1,50.0,0
23523,Data Engineer,1,5,75.0,0
74349,QA Engineer,1,4,48.0,0
70543,Admin,1,7,70.0,0
42245,Data Engineer,1,3,73.0,0
34405,DevOps Engineer,1,4,67.0,0
4134,Manager,1,8,,0
23599,Platform Engineer,1,7,82.0,0
942,Data Analyst,2,6,84.0,0
5281,QA Engineer,1,6,53.0,0
197,QA Engineer,1,6,,0
37574,Data Engineer,2,2,50.0,0
26773,Manager,1,5,75.0,0
70034,Data Scientist,2,9,70.0,0
40565,Admin,2,3,86.0,0
17193,QA Engineer,2,4,54.0,0
76550,Data Engineer,3,3,70.0,0
53841,Principle Architect,1,12,57.0,0
28314,Admin,1,1,,0
30196,QA Engineer,1,6,84.0,0
29757,DevOps Engineer,1,15,51.0,0
6073,Data Engineer,3,4,49.0,0
9863,Data Scientist,1,4,70.0,0
34306,DevOps Engineer,1,5,72.0,0
34041,Data Analyst,1,11,58.0,0
21356,DevOps Engineer,2,12,55.0,0
29540,DevOps Engineer,2,6,57.0,0
51669,Data Scientist,1,4,77.0,0
33825,Admin,1,7,48.0,1
6254,Data Analyst,1,9,64.0,0
11645,Data Analyst,1,7,51.0,0
3231,Principle Architect,1,4,80.0,0
7030,Admin,1,4,86.0,0
54198,Platform Engineer,1,9,68.0,0
62293,Admin,1,3,65.0,0
25312,DevOps Engineer,1,2,75.0,0
75610,Data Analyst,1,3,81.0,0
16518,Admin,2,9,49.0,0
42747,Manager,2,8,39.0,0
67980,Admin,2,2,70.0,0
53630,Admin,1,5,94.0,1
72423,Data Engineer,1,2,60.0,0
73022,Admin,1,2,51.0,0
63976,QA Engineer,1,4,56.0,0
60761,DevOps Engineer,1,2,62.0,0
57228,Data Analyst,1,6,48.0,0
14912,QA Engineer,1,4,49.0,0
22725,Platform Engineer,1,3,78.0,0
18981,Data Analyst,1,6,58.0,0
50845,QA Engineer,1,12,70.0,0
11800,Data Analyst,1,2,69.0,0
16351,QA Engineer,1,2,53.0,0
75881,Data Scientist,1,4,80.0,0
73200,Data Scientist,1,4,58.0,0
17833,Admin,1,1,85.0,0
58338,Admin,2,6,81.0,0
40187,Platform Engineer,1,8,67.0,0
70193,Software Engineer,1,8,86.0,0
27188,QA Engineer,1,4,80.0,0
24291,Software Engineer,2,3,85.0,0
43676,Admin,4,1,68.0,0
52231,QA Engineer,1,3,58.0,0
34241,DevOps Engineer,2,5,86.0,0
76661,DevOps Engineer,1,3,68.0,0
50595,Software Engineer,1,12,58.0,0
67673,DevOps Engineer,1,9,60.0,0
10547,Data Engineer,2,9,49.0,0
73405,Software Engineer,1,8,59.0,0
73114,QA Engineer,1,3,50.0,0
22572,Principle Architect,1,5,52.0,0
62923,Principle Architect,1,2,93.0,1
57235,Platform Engineer,1,2,51.0,0
22300,DevOps Engineer,1,1,52.0,0
24090,Principle Architect,1,9,69.0,0
57298,Data Engineer,2,9,86.0,0
25629,Manager,1,8,51.0,0
71339,QA Engineer,1,8,78.0,0
54714,Data Scientist,1,4,85.0,0
7390,Manager,1,4,63.0,0
9563,QA Engineer,2,7,60.0,0
39107,Principle Architect,1,2,48.0,0
19445,Software Engineer,3,3,52.0,0
